Company name,WVB No,OSIRIS Identification Number,count_records,min_date,max_date
1867 WESTERN FINANCIAL CORPORATION,US680167851,US42845,16,2000-12-31,2015-12-31
1ST CENTENNIAL BANCORP,40152NU,US20805,3,2000-12-31,2007-12-31
1ST CENTENNIAL BANCORP,40152NU,US68094,6,2001-12-31,2008-12-31
1ST CENTENNIAL BANCORP,40152NU,USA2275,8,2000-12-31,2007-12-31
"1ST CENTURY BANCSHARES, INC",US261169687,US83405,9,2007-12-31,2015-12-31
"1ST CENTURY BANK, NATIONAL ASSOCIATION",40571NU,US71262,12,2004-12-31,2015-12-31
"1ST COLONIAL BANCORP, INC.",US010715542,US83050,14,2002-12-31,2015-12-31
1ST CONSTITUTION BANCORP,36784NU,US68097,13,2000-12-31,2015-12-31
1ST CONSTITUTION BANCORP,36784NU,USA5D13,17,2000-12-31,2016-12-31
1ST ENTERPRISE BANK,US204349175,US71831,8,2006-12-31,2013-12-31
1ST FINANCIAL SERVICES CORPORATION,US260207901,US73000,6,2008-12-31,2013-12-31
1ST FINANCIAL SERVICES CORPORATION,US260207901,USB14DA,8,2005-12-31,2012-12-31
"1ST INDEPENDENCE FINANCIAL GROUP, INC",36851NU,US69157,5,2003-12-31,2007-12-31
"1ST INDEPENDENCE FINANCIAL GROUP, INC",36851NU,USA0C53,9,2000-09-30,2007-12-31
1ST PACIFIC BANCORP,US205738252,US84800,3,2007-12-31,2009-12-31
1ST PACIFIC BANK OF CALIFORNIA,40575NU,US60018,8,2002-12-31,2009-12-31
1ST SOURCE CORPORATION,32625NU,US34350,16,2000-12-31,2015-12-31
1ST SOURCE CORPORATION,32625NU,US41875,16,2000-12-31,2015-12-31
1ST STATE BANCORP,US562130744,US68098,6,2000-12-31,2005-12-31
1ST STATE BANCORP,US562130744,USA24BD,6,2000-09-30,2005-09-30
"1ST UNITED BANCORP, INC.",US650925266,US71790,7,2005-12-31,2013-12-31
"1ST UNITED BANCORP, INC.",US650925266,USB1CB0,9,2005-12-31,2013-12-31
3I GROUP PLC,30125EX,GB24000,3,2014-03-31,2016-03-31
A'AYAN LEASING & INVESTMENT COMPANY,30034GK,KW48863,4,2012-12-31,2015-12-31
AAREAL BANK AG,40167ED,DE13222,5,2011-12-31,2015-12-31
AAREAL BANK AG,40167ED,DE18620,3,2013-12-31,2015-12-31
AB BANK LTD,30133FE,BD32702,5,2011-12-31,2015-12-31
AB DNB BANKAS,40034OC,LT38058,5,2011-12-31,2015-12-31
AB DNB BANKAS,40034OC,LT48646,2,2013-12-31,2015-12-31
AB SEB BANKAS,40041OC,LT34808,3,2013-12-31,2015-12-31
AB SEB BANKAS,40041OC,LT45298,5,2011-12-31,2015-12-31
AB STOLICHNIY ASFALTOBETONNIY ZAVOD OAO,40724OU,UA53085,2,2013-12-31,2014-12-31
AB&T FINANCIAL CORPORATION,US262588442,US83466,9,2008-12-31,2016-12-31
ABANCA CORPORACION BANCARIA SA,ESA70302039,ES14072,4,2011-12-31,2015-12-31
ABANCA CORPORACION BANCARIA SA,ESA70302039,ES14491,4,2012-12-31,2015-12-31
ABANKA D.D,40002OD,SI35837,5,2011-12-31,2015-12-31
ABANKA D.D,40002OD,SI49396,3,2013-12-31,2015-12-31
ABC ARBITRAGE SA,30700EF,FR15856,3,2013-12-31,2015-12-31
ABC BANKING CORPORATION LTD,MU10256,MU10256,3,2014-06-30,2016-06-30
ABC HOLDINGS LIMITED - BANCABC,BW49473,BW49473,5,2011-12-31,2015-12-31
ABERDEEN ASSET MANAGEMENT PLC,30048EX,GB40684,3,2013-09-30,2015-09-30
ABG SUNDAL COLLIER HOLDING ASA,30014SN,NO16882,3,2013-12-31,2015-12-31
"ABIGAIL ADAMS NATIONAL BANCORP, INC.",32655NU,US89145,3,2006-12-31,2008-12-31
"ABINGTON BANCORP, INC.",32656NU,US00670,4,2000-12-31,2003-12-31
"ABINGTON BANCORP, INC.",32656NU,US68109,4,2000-12-31,2003-12-31
ABN AMRO GROUP N.V.,40041EN,NL12060,3,2013-12-31,2015-12-31
ABSA BANK LTD,30708KS,ZA32509,5,2011-12-31,2015-12-31
ABU DHABI COMMERCIAL BANK,30051GU,AE32206,6,2011-12-31,2016-12-31
ABU DHABI ISLAMIC BANK,30670KE,EG32516,5,2011-12-31,2015-12-31
"ACADIANA BANCSHARES, INC.",32659NU,US87587,3,2000-12-31,2002-12-31
