Company name,OSIRIS Identification Number,count_records
1867 WESTERN FINANCIAL CORPORATION,US42845,16
1ST CENTENNIAL BANCORP,US20805,3
1ST CENTENNIAL BANCORP,US68094,6
1ST CENTENNIAL BANCORP,USA2275,8
"1ST CENTURY BANCSHARES, INC",US83405,9
"1ST CENTURY BANK, NATIONAL ASSOCIATION",US71262,12
"1ST COLONIAL BANCORP, INC.",US83050,14
1ST CONSTITUTION BANCORP,US68097,13
1ST CONSTITUTION BANCORP,USA5D13,17
1ST ENTERPRISE BANK,US71831,8
1ST FINANCIAL SERVICES CORPORATION,US73000,6
1ST FINANCIAL SERVICES CORPORATION,USB14DA,8
"1ST INDEPENDENCE FINANCIAL GROUP, INC",US69157,5
"1ST INDEPENDENCE FINANCIAL GROUP, INC",USA0C53,9
1ST PACIFIC BANCORP,US84800,3
1ST PACIFIC BANK OF CALIFORNIA,US60018,8
1ST SOURCE CORPORATION,US34350,16
1ST SOURCE CORPORATION,US41875,16
1ST STATE BANCORP,US68098,6
1ST STATE BANCORP,USA24BD,6
"1ST UNITED BANCORP, INC.",US71790,7
"1ST UNITED BANCORP, INC.",USB1CB0,9
3I GROUP PLC,GB24000,3
A'AYAN LEASING & INVESTMENT COMPANY,KW48863,4
AAREAL BANK AG,DE13222,5
AAREAL BANK AG,DE18620,3
AB BANK LTD,BD32702,5
AB DNB BANKAS,LT38058,5
AB DNB BANKAS,LT48646,2
AB SEB BANKAS,LT34808,3
AB SEB BANKAS,LT45298,5
AB STOLICHNIY ASFALTOBETONNIY ZAVOD OAO,UA53085,2
AB&T FINANCIAL CORPORATION,US83466,9
ABANCA CORPORACION BANCARIA SA,ES14072,4
ABANCA CORPORACION BANCARIA SA,ES14491,4
ABANKA D.D,SI35837,5
ABANKA D.D,SI49396,3
ABC ARBITRAGE SA,FR15856,3
ABC BANKING CORPORATION LTD,MU10256,3
ABC HOLDINGS LIMITED - BANCABC,BW49473,5
ABERDEEN ASSET MANAGEMENT PLC,GB40684,3
ABG SUNDAL COLLIER HOLDING ASA,NO16882,3
"ABIGAIL ADAMS NATIONAL BANCORP, INC.",US89145,3
"ABINGTON BANCORP, INC.",US00670,4
"ABINGTON BANCORP, INC.",US68109,4
ABN AMRO GROUP N.V.,NL12060,3
ABSA BANK LTD,ZA32509,5
ABU DHABI COMMERCIAL BANK,AE32206,6
ABU DHABI ISLAMIC BANK,EG32516,5
"ACADIANA BANCSHARES, INC.",US87587,3
"ACADIANA BANCSHARES, INC.",USA103F,2
ACCESS BANK (GHANA) LIMITED,GH11832,3
ACCESS BANK PLC,NG45885,3
ACCESS NATIONAL CORPORATION,US68113,14
ACCESS NATIONAL CORPORATION,USA9E37,16
ACCORD FINANCIAL CORPORATION,CA16514,3
ACNB CORPORATION,US00065,16
ACNB CORPORATION,US19276,16
"ACOM CO, LTD",JP48259,5
ADDIKO BANK,BA16550,3
ADDIKO BANK AD BEOGRAD,RS40215,5
"ADMINISTRADORA DE FONDOS DE PENSIONES CONFIA, S.A.",SV51731,3
ADMINISTRADORA DE FONDOS DE PENSIONES Y CESANTIAS PROTECCION S A,CO53089,3
"ADMIRALTY BANCORP, INC.",US87574,3
"ADMIRALTY BANCORP, INC.",USA1C98,2
"ADVANTAGE BANK, NEW JERSEY",US60047,4
AEC SECURITIES PUBLIC COMPANY LIMITED,TH16588,3
AEON CREDIT SERVICE (ASIA) COMPANY LIMITED,HK48468,3
AEON CREDIT SERVICE (M) BERHAD,MY14378,3
AEON FINANCIAL SERVICE CO LTD,JP49952,3
AEON FINANCIAL SERVICE CO LTD,JP49953,3
AEON THANA SINSAP THAILAND PUBLIC COMPANY LIMITED,TH51353,4
"AFFILIATED MANAGERS GROUP, INC.",US51083,3
AFFIN HOLDINGS BERHAD,MY19847,5
AFFINE R.E. SA,FR12124,3
AFRICAN PHOENIX INVESTMENTS LIMITED,ZA46045,1
AFRICAN PHOENIX INVESTMENTS LIMITED,ZA46050,2
AGRICULTURAL BANK OF CHINA LIMITED,CN33572,5
