OSIRIS Identification Number,Company Fiscal Year End (SAS Date Format),Consolidation Code,ISIN No,Ticker symbol,WVB No,VALOR No,CIK No,Company name,Release date (as a SAS date value),BvD Independence Indicator,Main exchange,City,Cash & balances with central banks th USD Last avail. yr,Net loans and advances to banks th USD Last avail. yr,Derivative financial instruments th USD Last avail. yr,Mortgage Loans th USD Last avail. yr,Consumer loans th USD Last avail. yr,Corporate loans th USD Last avail. yr
AU30185,2011-09-30,U2,AU000000WBC1,WBC,30084AA,NA,719245,WESTPAC BANKING CORPORATION,NA,A+,Australian Securities Exchange,SYDNEY,1.6399E7,3657000.0,4.8879E7,3.04561E8,9.1339E7,4.3115E7
AU30185,2012-09-30,U2,AU000000WBC1,WBC,30084AA,NA,719245,WESTPAC BANKING CORPORATION,NA,A+,Australian Securities Exchange,SYDNEY,1.2766E7,2919000.0,3.5184E7,3.16342E8,9.1133E7,4.1832E7
AU30185,2013-09-30,U2,AU000000WBC1,WBC,30084AA,NA,719245,WESTPAC BANKING CORPORATION,NA,A+,Australian Securities Exchange,SYDNEY,1.0972E7,2330000.0,2.8405E7,3.28853E8,9.6826E7,4.5834E7
AU30185,2014-09-30,U2,AU000000WBC1,WBC,30084AA,NA,719245,WESTPAC BANKING CORPORATION,NA,A+,Australian Securities Exchange,SYDNEY,2.4789E7,1797000.0,4.1307E7,3.51344E8,1.10341E8,4.379E7
AU30185,2015-09-30,U2,AU000000WBC1,WBC,30084AA,NA,719245,WESTPAC BANKING CORPORATION,NA,A+,Australian Securities Exchange,SYDNEY,1.4524E7,1155000.0,4.754E7,3.75826E8,1.6321E7,1.38806E8
AU30185,2016-09-30,U2,AU000000WBC1,WBC,30084AA,NA,719245,WESTPAC BANKING CORPORATION,NA,A+,Australian Securities Exchange,SYDNEY,1.6455E7,1884000.0,3.209E7,4.04173E8,1.9199E7,1.44898E8
AU30186,2011-09-30,C2,AU000000WBC1,WBC,30084AA,NA,719245,WESTPAC BANKING CORPORATION,NA,A+,Australian Securities Exchange,SYDNEY,1.7997E7,6901000.0,4.9145E7,3.32055E8,1.09259E8,4.5556E7
AU30186,2012-09-30,C2,AU000000WBC1,WBC,30084AA,NA,719245,WESTPAC BANKING CORPORATION,NA,A+,Australian Securities Exchange,SYDNEY,1.4416E7,5491000.0,3.5489E7,3.45027E8,1.15066E8,4.4172E7
AU30186,2013-09-30,C2,AU000000WBC1,WBC,30084AA,NA,719245,WESTPAC BANKING CORPORATION,NA,A+,Australian Securities Exchange,SYDNEY,1.327E7,4073000.0,2.8356E7,3.62806E8,1.24742E8,4.7799E7
AU30186,2014-09-30,C2,AU000000WBC1,WBC,30084AA,NA,719245,WESTPAC BANKING CORPORATION,NA,A+,Australian Securities Exchange,SYDNEY,2.7288E7,3594000.0,4.1404E7,3.86502E8,2.2878E7,1.58182E8
AU30186,2015-09-30,C2,AU000000WBC1,WBC,30084AA,NA,719245,WESTPAC BANKING CORPORATION,NA,A+,Australian Securities Exchange,SYDNEY,1.6079E7,1981000.0,4.8173E7,4.14199E8,2.4034E7,1.68966E8
AU30186,2016-09-30,C2,AU000000WBC1,WBC,30084AA,NA,719245,WESTPAC BANKING CORPORATION,NA,A+,Australian Securities Exchange,SYDNEY,1.8405E7,2823000.0,3.2227E7,4.47225E8,2.469E7,1.77708E8
AU30191,2011-09-30,C1,AU000000NAB4,NAB,30005AA,NA,833029,NATIONAL AUSTRALIA BANK LIMITED,NA,A+,Australian Securities Exchange,MELBOURNE,2.2159E7,3.0072E7,5.2574E7,2.53064E8,1.4785E7,1.04619E8
AU30191,2012-09-30,C1,AU000000NAB4,NAB,30005AA,NA,833029,NATIONAL AUSTRALIA BANK LIMITED,NA,A+,Australian Securities Exchange,MELBOURNE,2.1295E7,3.2311E7,4.4514E7,2.68729E8,1.4288E7,1.02402E8
AU30191,2013-09-30,C1,AU000000NAB4,NAB,30005AA,NA,833029,NATIONAL AUSTRALIA BANK LIMITED,NA,A+,Australian Securities Exchange,MELBOURNE,2.1158E7,2.8444E7,4.314E7,2.89363E8,1.3707E7,1.00886E8
AU30191,2014-09-30,C1,AU000000NAB4,NAB,30005AA,NA,833029,NATIONAL AUSTRALIA BANK LIMITED,NA,A+,Australian Securities Exchange,MELBOURNE,2.6822E7,1.9115E7,6.2877E7,3.12039E8,1.367E7,1.00896E8
AU30191,2015-09-30,C1,AU000000NAB4,NAB,30005AA,NA,833029,NATIONAL AUSTRALIA BANK LIMITED,NA,A+,Australian Securities Exchange,MELBOURNE,3.6085E7,2.2152E7,8.9983E7,3.41965E8,1.3814E7,1.67862E8
AU30191,2016-09-30,C1,AU000000NAB4,NAB,30005AA,NA,833029,NATIONAL AUSTRALIA BANK LIMITED,NA,A+,Australian Securities Exchange,MELBOURNE,2.8883E7,1.8764E7,4.9538E7,3.14557E8,1.1062E7,1.75242E8
AU30962,2011-09-30,C1,AU000000ANZ3,ANZ,30013AA,NA,859994,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,NA,A+,Australian Securities Exchange,ST DOCKLANDS,4310000.0,2.4242E7,5.8641E7,2.16011E8,1.5571E8,1.8334E7
AU30962,2012-09-30,C1,AU000000ANZ3,ANZ,30013AA,NA,859994,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,NA,A+,Australian Securities Exchange,ST DOCKLANDS,4534000.0,3.3594E7,4.8929E7,2.31503E8,1.69254E8,1.9469E7
AU30962,2013-09-30,C1,AU000000ANZ3,ANZ,30013AA,NA,859994,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,NA,A+,Australian Securities Exchange,ST DOCKLANDS,1.7295E7,1.9225E7,4.5878E7,2.54219E8,2.11695E8,1.6536E7
AU30962,2014-09-30,C1,AU000000ANZ3,ANZ,30013AA,NA,859994,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,NA,A+,Australian Securities Exchange,ST DOCKLANDS,2.4273E7,2.0241E7,5.6369E7,2.72431E8,2.33393E8,1.5027E7
AU30962,2015-09-30,C1,AU000000ANZ3,ANZ,30013AA,NA,859994,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,NA,A+,Australian Securities Exchange,ST DOCKLANDS,4.3623E7,1.8596E7,8.5625E7,3.01721E8,2.53578E8,1.4201E7
